央视频道,#genre#
杭州综合,http://jellyfin.eversouthhangzhou.com.cn:8188/rtp/233.50.201.173:5140
杭州明珠,http://jellyfin.eversouthhangzhou.com.cn:8188/rtp/233.50.201.174:5140
杭州生活,http://jellyfin.eversouthhangzhou.com.cn:8188/rtp/233.50.201.175:5140
杭州影视,http://jellyfin.eversouthhangzhou.com.cn:8188/rtp/233.50.201.176:5140
绍兴新闻综合,http://live.shaoxing.com.cn/video/s10001-sxhb/index.m3u8
绍兴公共频道,http://live.shaoxing.com.cn/video/s10001-sxtv2/index.m3u8
绍兴文化影视,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8
宁波新闻综合,http://115.29.208.41:33333/list7/zjnb.php?id=nbtv1
宁波经济生活,http://115.29.208.41:33333/list7/zjnb.php?id=nbtv2
宁波都市文体,http://115.29.208.41:33333/list7/zjnb.php?id=nbtv3
宁波影视,http://115.29.208.41:33333/list7/zjnb.php?id=nbtv4
上虞新闻综合,http://l.cztvcloud.com/channels/lantian/SXshangyu1/720p.m3u8
嵊州新闻综合,http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8

新昌新闻综合,http://42483.hlsplay.aodianyun.com/tv_radio_42483/tv_channel_1361.m3u8?auth_key=4822776050-0-0-4962c7b74dc899703bfbba3439ce0fe2&extra_key=2vtD8BdG6zU_tdWMbQ3NhQgb0T-EUej6APZOEIIFMIXy-Qo8suohFB31MQ8Yfs4NbDBbjUuK1dm9poPK9TNHJYi1LmeV9yFZW7PGDnAVdPRc8Bfn3G_z-YHOF4oWZDkwlpDzJEnv0XpVyYEvaYWovw2FApRPUzlQ8OMBCXApCo07Yd3A2mNI9LAy51E0B4zV

新昌生活频道,http://42483.hlsplay.aodianyun.com/tv_radio_42483/tv_channel_1362.m3u8?auth_key=4822775993-0-0-794137d1fe5386cd0af9187b847cdb58&extra_key=Zw98aic2180l9sU6iuh1EbAqdAAz9gnUojG4L1fD4inb17oCEPJU8LKWHJMVnjSVvZCDWJWlTASDNHf4AwEwMgG7Hzu5Y8ACGNRWAmdee6QRIdkXaXQYT4PlpCPyYAHgImjNza-jVrNAg93in556ZH8TXnKE0bIdsa-7XL88cRGKlFEYbgMPXxuXodDQQ5je
嘉兴新闻综合,http://115.29.208.41:33333/list7/zjdft.php?id=1675942165226154
嘉兴文化影视,http://115.29.208.41:33333/list7/zjdft.php?id=1675149625220101
嘉兴公共频道,http://115.29.208.41:33333/list7/zjdft.php?id=1675149601192103
湖州新闻综合,http://hzcm-live.media.hugd.com/3f5fa7d64c7c46a38c6bd8ad35e836cc/65128273761b4731ae53729ea6dcf932.m3u8?auth_key=2277598215-9d21c15111244bea8d298c361d31a72e-0-d031198f58d44b0e91ba2e3f3b188865
湖州公共频道,http://hzcm-live.media.hugd.com/1e6b554b9ab74513958c0e1ffe664d22/9acaa7634309494cb29a85eb12136607.m3u8?auth_key=2272900830-9a2389b8bf4e49d580d4ad807423d326-0-ea78a5c7a678c436263582d368f5009e
http://hzcm-live.media.hugd.com/613c47f0ab0d4eaa98b21378d0db6ded/0051d31c9dd543a7825eea4e49675b2a.m3u8?auth_key=2277598059-0a5ebfa1c0dc4671b42a60810fc37039-0-fa625b7d1feab612062453c12e3c8887
奉化综合,http://115.29.208.41:33333/list7/gdy.php?id=ningbofh
象山新闻综合,https://play-sh13.quklive.com/live/1702360350551252.m3u8?auth_key=2037107484-800189c57a5a44d3b823b60cf84f6756-0-a6f6828a62d5c167cff5e68735fa0d39
舟山新闻综合,http://115.29.208.41:33333/list7/zjdft.php?id=1699001836208185
温州新闻综合,http://jellyfin.eversouthhangzhou.com.cn:8188/rtp/233.50.201.87:5140

乐清新闻频道,http://115.29.208.41:33333/list7/gdy.php?id=wenzhouyq
苍南新闻综合,http://115.29.208.41:33333/list7/zjdft.php?id=1726543353849105
东阳新闻综合,http://115.29.208.41:33333/list7/zjdft.php?id=1681113308206040
永康新闻综合,http://115.29.208.41:33333/list7/zjdft.php?id=1625061424267104

影视轮播,#genre#
新水浒,http://tv.zimtv.cn/tv/player/api/huya.php?id=11342384
新三国,http://tv.zimtv.cn/tv/player/api/huya.php?id=11352944
雍正王朝,http://tv.zimtv.cn/tv/player/api/huya.php?id=11342439
纪晓岚,http://tv.zimtv.cn/tv/player/api/huya.php?id=11342396
神探狄仁杰,http://tv.zimtv.cn/tv/player/api/huya.php?id=11352958
康熙王朝,http://tv.zimtv.cn/tv/player/api/huya.php?id=11352940
亮剑,http://tv.zimtv.cn/tv/player/api/huya.php?id=30080238 
大染坊,http://tv.zimtv.cn/tv/player/api/huya.php?id=11602086 
神医喜来乐,http://tv.zimtv.cn/tv/player/api/huya.php?id=11601978 
渗透,http://tv.zimtv.cn/tv/player/api/huya.php?id=30080244
雪豹坚强岁月,http://tv.zimtv.cn/tv/player/api/huya.php?id=29580970 
勇敢的心,http://tv.zimtv.cn/tv/player/api/huya.php?id=11602037
康熙微服私访,http://tv.zimtv.cn/tv/player/api/huya.php?id=11342418 
洪武大案,http://tv.zimtv.cn/tv/player/api/huya.php?id=11352973
